Code;Reference;Designation du produit;Code a barre;Prix d'Achat;Prix de Vente 1;Prix de Vente 2;Prix de Vente 3;Prix de Vente 4;Prix de Vente 5;TVA;Stock;Perissable;Avertir avant;Stock minimum;Stock maximum;Avertir quantite;Observation
1;P0001;7UP;6130743002246;0;0;0;0;0;0;0;0;f;5;0;0;0;
2;P0002;7UP 2L;6130743016410;0;0;0;0;0;0;0;0;f;5;0;0;0;
3;P0003;ABIDA SALADE MECHOUIA;6194024504348;0;0;0;0;0;0;0;0;f;5;0;0;0;
4;P0004;ABRICOT MIZAN;8697414120015;0;0;0;0;0;0;0;0;f;5;0;0;0;
5;P0005;ACTION DEBCHEUR 200GR;6130656000063;0;0;0;0;0;0;0;0;f;5;0;0;0;
6;P0006;ACTION LAVE VTR;6130656000056;0;0;0;0;0;0;0;0;f;5;0;0;0;
7;P0007;ACTION POLICH;6130656000032;0;0;0;0;0;0;0;0;f;5;0;0;0;
8;P0008;ACTION POUDRE;6130656000476;0;0;0;0;0;0;0;0;f;5;0;0;0;
9;P0009;activia danon;6130646002930;0;0;0;0;0;0;0;0;f;5;0;0;0;
10;P0010;AFIA 2L;6133136000195;0;0;0;0;0;0;0;0;f;5;0;0;0;
11;P0011;AFIA 5L ;6133136000201;0;0;0;0;0;0;0;0;f;5;0;0;0;
12;P0012;AFIA HUILE 1L;6133136000188;0;0;0;0;0;0;0;0;f;5;0;0;0;
13;P0013;AGRADO 750ML;8433295038045;0;0;0;0;0;0;0;0;f;5;0;0;0;
14;P0014;AIGLE 3EN1;6132500257883;0;0;0;0;0;0;0;0;f;5;0;0;0;
15;P0015;AIGLE 500G  MACHINE;6132500252055;0;0;0;0;0;0;0;0;f;5;0;0;0;
16;P0016;AIGLE ANTI CALCAIRE 500ML;6132500254950;0;0;0;0;0;0;0;0;f;5;0;0;0;
17;P0017;AIGLE AU SAVON 1L;6132500257869;0;0;0;0;0;0;0;0;f;5;0;0;0;
18;P0018;AIGLE BLACK 1L;6132500255797;0;0;0;0;0;0;0;0;f;5;0;0;0;
19;P0019;AIGLE DECAPE FOUR 500ML;6132500252239;0;0;0;0;0;0;0;0;f;5;0;0;0;
20;P0020;AIGLE DEGRISSANT;6132500251447;0;0;0;0;0;0;0;0;f;5;0;0;0;
21;P0021;AIGLE FIBRE 1L;6132500258637;0;0;0;0;0;0;0;0;f;5;0;0;0;
22;P0022;AIGLE FIBRE 3L;6132500257357;0;0;0;0;0;0;0;0;f;5;0;0;0;
23;P0023;AIGLE JAVEL 2L ;6132500259641;0;0;0;0;0;0;0;0;f;5;0;0;0;
24;P0024;AIGLE JAVEL 5L;6132500259672;0;0;0;0;0;0;0;0;f;5;0;0;0;
25;P0025;AIGLE JAVEL 900ML;6132500251966;0;0;0;0;0;0;0;0;f;5;0;0;0;
26;P0026;AIGLE JAVEL PROMO;1050000016644;0;0;0;0;0;0;0;0;f;5;0;0;0;
27;P0027;AIGLE LAMP 12W;1050000017202;0;0;0;0;0;0;0;0;f;5;0;0;0;
28;P0028;AIGLE LAMP 15;1050000017203;0;0;0;0;0;0;0;0;f;5;0;0;0;
29;P0029;AIGLE LAMP 5W;1050000017201;0;0;0;0;0;0;0;0;f;5;0;0;0;
30;P0030;AIGLE LAMP 9W;1050000017205;0;0;0;0;0;0;0;0;f;5;0;0;0;
31;P0031;AIGLE LAMP CARRE 18W;1050000017208;0;0;0;0;0;0;0;0;f;5;0;0;0;
32;P0032;AIGLE LAMP CARRE 5W;1050000017209;0;0;0;0;0;0;0;0;f;5;0;0;0;
33;P0033;AIGLE LAMP CARRE 8W;1050000017210;0;0;0;0;0;0;0;0;f;5;0;0;0;
34;P0034;AIGLE LAMPE CARRE 14W;1050000017207;0;0;0;0;0;0;0;0;f;5;0;0;0;
35;P0035;AIGLE LAVE SOL 925ML;6132500259177;0;0;0;0;0;0;0;0;f;5;0;0;0;
36;P0036;AIGLE LINGE COLOR;6132500257890;0;0;0;0;0;0;0;0;f;5;0;0;0;
37;P0037;AIGLE LINJE BEBE1L;6132500255155;0;0;0;0;0;0;0;0;f;5;0;0;0;
38;P0038;AIGLE MACHINE 1L;6132500257760;0;0;0;0;0;0;0;0;f;5;0;0;0;
39;P0039;AIGLE MACHINE 1L  FEBER;6132500257876;0;0;0;0;0;0;0;0;f;5;0;0;0;
40;P0040;AIGLE MACHINE 3KG;6132500252192;0;0;0;0;0;0;0;0;f;5;0;0;0;
41;P0041;AIGLE MACHINE SEAU 1KG;6132500256688;0;0;0;0;0;0;0;0;f;5;0;0;0;
42;P0042;AIGLE MACHINE SEAU 3KG;6132500255087;0;0;0;0;0;0;0;0;f;5;0;0;0;
43;P0043;AIGLE MULTI ACTION VTR 500ML;6132500251416;0;0;0;0;0;0;0;0;f;5;0;0;0;
44;P0044;AIGLE SANI TOP ;6132500252017;0;0;0;0;0;0;0;0;f;5;0;0;0;
45;P0045;AIGLE SAVON DETACHANT;6132500256459;0;0;0;0;0;0;0;0;f;5;0;0;0;
46;P0046;AIGLE TOP SOL PACK ;1050000016866;0;0;0;0;0;0;0;0;f;5;0;0;0;
47;P0047;AIGLE TOP SOL PROMO;1050000016645;0;0;0;0;0;0;0;0;f;5;0;0;0;
48;P0048;AIGLE TOP SOLS;6132500254707;0;0;0;0;0;0;0;0;f;5;0;0;0;
49;P0049;AIGLE ULTRA EFFICACE;6132500258309;0;0;0;0;0;0;0;0;f;5;0;0;0;
50;P0050;AIGLE VAISSELLE 1L;6132500252079;0;0;0;0;0;0;0;0;f;5;0;0;0;
51;P0051;AIGLE VICELLE 430 ML;6132500252505;0;0;0;0;0;0;0;0;f;5;0;0;0;
52;P0052;AIGLE VISSELE 710ML;6132500255018;0;0;0;0;0;0;0;0;f;5;0;0;0;
53;P0053;AIGLE VSL 750ML PEAUX SNSBL;6132500254646;0;0;0;0;0;0;0;0;f;5;0;0;0;
54;P0054;AIGLR GEL DETARTANT ;6132500257210;0;0;0;0;0;0;0;0;f;5;0;0;0;
55;P0055;AIL SECHE MOULU;6132505060198;0;0;0;0;0;0;0;0;f;5;0;0;0;
56;P0056;AIR WICK LIFE SCENTS;3059943022553;0;0;0;0;0;0;0;0;f;5;0;0;0;
57;P0057;AIR WICK MATIC;5900627060331;0;0;0;0;0;0;0;0;f;5;0;0;0;
58;P0058;AIR WICK PURE;3059943021709;0;0;0;0;0;0;0;0;f;5;0;0;0;
59;P0059;AIR WICK RECHARGE;4002448037590;0;0;0;0;0;0;0;0;f;5;0;0;0;
60;P0060;AIR WICK RECHARGEE;8410104156664;0;0;0;0;0;0;0;0;f;5;0;0;0;
61;P0061;AIRWAVES;42211969;0;0;0;0;0;0;0;0;f;5;0;0;0;
62;P0062;AKID PILE R6/R3/P2;6930311222980;0;0;0;0;0;0;0;0;f;5;0;0;0;
63;P0063;AL BEY SERDINE TOMATE;6130816009516;0;0;0;0;0;0;0;0;f;5;0;0;0;
64;P0064;AL SHIFA ;6281073210082;0;0;0;0;0;0;0;0;f;5;0;0;0;
65;P0065;AL SHIFA MIEL 125gr;6281073210266;0;0;0;0;0;0;0;0;f;5;0;0;0;
66;P0066;AL SHIFA MIEL 250GR;6281073210143;0;0;0;0;0;0;0;0;f;5;0;0;0;
67;P0067;ALADIN ABOIR;6130760003615;0;0;0;0;0;0;0;0;f;5;0;0;0;
68;P0068;ALADIN DUOS ;6130760003325;0;0;0;0;0;0;0;0;f;5;0;0;0;
69;P0069;ALADIN G;6130760004629;0;0;0;0;0;0;0;0;f;5;0;0;0;
70;P0070;ALADIN SOUMAM;6130760002922;0;0;0;0;0;0;0;0;f;5;0;0;0;
71;P0071;ALATIHR CAJOU ;6134847000016;0;0;0;0;0;0;0;0;f;5;0;0;0;
