"code_p","refer_p","nom_p","codebar_p","prixht_p","prixvd_p","prixvr_p","prixvg_p","prixva_p","prixva2_p","tva_p","qut_p","perissable_p","alertdays_p","qutmin_p","qutmax_p","alertqut_p","obser_p","code_famp","code_f","logo_p","code_l","code_sfamp","dateperiss_p","code_u","qutini_p"
"9423","P09423","MEDINA SMEN 900gr","6130234002168","195,00 DA","235,00 DA","0,00 DA","0,00 DA","0,00 DA","0,00 DA","0","16","f","5","0","0","0",,"0","0",,"0","0",,"0","0"
"9421","P09421","MEDINA SMEN 1.8KG","6130234000614","400,00 DA","480,00 DA","0,00 DA","0,00 DA","0,00 DA","0,00 DA","0","32","f","5","0","0","0",,,,,,,,,"0"
"10829","P10829","NOUNOURS MIEL 1.8KG","6132504820373","250,00 DA","290,00 DA","0,00 DA","0,00 DA","0,00 DA","0,00 DA","0","24","f","5","0","0","0",,,,,,,,,"0"
"16256","P16256","NOUNOURS MIEL 2.8K","6132504820045","360,00 DA","415,00 DA","0,00 DA","0,00 DA","0,00 DA","0,00 DA","0","24","f","0","0","0","0",,"2","0",,"0","0",,"0","0"
"7159","P07159","ISIS 3L MACHINE","6130430003624","585,00 DA","670,00 DA","0,00 DA","0,00 DA","0,00 DA","0,00 DA","0","8","f","5","0","0","0",,,,,,,,,"0"
"8303","P08303","LE CHAT SACHI360G","6130430003150","73,00 DA","85,00 DA","0,00 DA","0,00 DA","0,00 DA","0,00 DA","0","180","f","5","0","0","0",,,,,,,,,"0"
"14833","P14833","TEST SACHI 500G","6130793002418","65,00 DA","75,00 DA","0,00 DA","0,00 DA","0,00 DA","0,00 DA","0","37","f","5","0","0","0",,,,,,,,,"0"
"14807","P14807","TEST 1 LITRE","6130793002524","148,00 DA","170,00 DA","0,00 DA","0,00 DA","0,00 DA","0,00 DA","0","12","f","5","0","0","0",,,,,,,,,"0"
"9977","P09977","MOLPED ULTRA AIRACTIVE 10P","8690536837588","94,00 DA","110,00 DA","0,00 DA","0,00 DA","0,00 DA","0,00 DA","0","24","f","5","0","0","0",,,,,,,,,"0"
"14027","P14027","SPAGHETTI MAMA","6130492000371","41,00 DA","45,00 DA","0,00 DA","0,00 DA","0,00 DA","0,00 DA","0","20","f","5","0","0","0",,,,,,,,,"0"
"789","P00789","ARIEL POWER GEL 3L","4015600915650","990,00 DA","1 180,00 DA","0,00 DA","0,00 DA","0,00 DA","0,00 DA","0","8","f","5","0","0","0",,,,,,,,,"0"
"16314","P16314","EXTRA TOMAT 400G 28% ","6131437000111","78,00 DA","90,00 DA","0,00 DA","0,00 DA","0,00 DA","0,00 DA","0","47","f","0","0","0","0",,"0","0",,"0","0",,"0","0"
"16315","P16315","EXTRA TOMAT 400 /22%","6131437000104","72,00 DA","85,00 DA","0,00 DA","0,00 DA","0,00 DA","0,00 DA","0","48","f","0","0","0","0",,"0","0",,"0","0",,"0","0"
"16303","P16303","LALA VERMICELLE 500G","6131437001866","35,50 DA","50,00 DA","0,00 DA","0,00 DA","0,00 DA","0,00 DA","0","40","f","0","0","0","0",,"0","0",,"0","0",,"0","0"
"12461","P12461","RAMY CARTON 1L","6132502917563","80,00 DA","95,00 DA","0,00 DA","0,00 DA","0,00 DA","0,00 DA","0","34","f","5","0","0","0",,"0","0",,"0","0",,"0","0"
"16299","P16299","FARINE CERBIOR 5K","6131437000036","240,00 DA","275,00 DA","0,00 DA","0,00 DA","0,00 DA","0,00 DA","0","10","f","0","0","0","0",,"0","0",,"0","0",,"0","0"
"16317","P16317","VICHI 33CL","6133275000452","17,00 DA","20,00 DA","0,00 DA","0,00 DA","0,00 DA","0,00 DA","0","60","f","0","0","0","0",,"0","0",,"0","0",,"0","0"
"6611","P06611","HAMOUD LIMONADE 2L","6130695111409","95,00 DA","110,00 DA","0,00 DA","0,00 DA","0,00 DA","0,00 DA","0","108","f","5","0","0","0",,"0","0",,"0","0",,"0","0"
"16326","P16326","EL HARA TOMATE 800G","6132003300383","185,00 DA","215,00 DA","0,00 DA","0,00 DA","0,00 DA","0,00 DA","0","22","f","0","0","0","0",,"0","0",,"0","0",,"0","0"
"16319","P16319","BINGO PACK 3K","6130793003200","570,00 DA","655,00 DA","0,00 DA","0,00 DA","0,00 DA","0,00 DA","0","8","f","0","0","0","0",,"0","0",,"0","0",,"0","0"
"16320","P16320","ISIS PRIL 3L","6130430004119","390,00 DA","450,00 DA","0,00 DA","0,00 DA","0,00 DA","0,00 DA","0","7","f","0","0","0","0",,"0","0",,"0","0",,"0","0"
"16321","P16321","LE CHAT MACHINE 1L","6130430002955","288,00 DA","330,00 DA","0,00 DA","0,00 DA","0,00 DA","0,00 DA","0","12","f","0","0","0","0",,"0","0",,"0","0",,"0","0"
"16322","P16322","SEL FIN 1K","6130265510465","50,00 DA","60,00 DA","0,00 DA","0,00 DA","0,00 DA","0,00 DA","0","30","f","0","0","0","0",,"0","0",,"0","0",,"0","0"
"16323","P16323","ROUIBA EXCELLENCE 75CL","6130002002871","108,00 DA","135,00 DA","0,00 DA","0,00 DA","0,00 DA","0,00 DA","0","60","f","0","0","0","0",,"0","0",,"0","0",,"0","0"
"16324","P16324","SAIDA VICHY 1L","6133275000445","26,00 DA","45,00 DA","0,00 DA","0,00 DA","0,00 DA","0,00 DA","0","30","f","0","0","0","0",,"0","0",,"0","0",,"0","0"
